ID,Text,Subjectivity,Polarity
f1e069787ece74531d112559945c6871,?? ????? ???? ????? ????? ??????? ?? ??-?? ?? ????? ????? ???? ????????,subjective,NU
f1e069787ece74531d112559945c6871,"????? ?????? ?? ?? ?????, ????????? ??? ?? ???? ?????? ",subjective,NU
f1e069787ece74531d112559945c6871,?? ????? ?? ?????? ????? ??????,subjective,NU
f1e069787ece74531d112559945c6871,?????? ??? ????? ??? ?????? ??? ???,subjective,NU
f1e069787ece74531d112559945c6871,????? ??? ???? ??? ????? ??? ?? ????? ?? ???,subjective,NU
f1e069787ece74531d112559945c6871,??????? ????? ????????,subjective,NU
f1e069787ece74531d112559945c6871,??? ?? ???? ????? ????,subjective,NU
f1e069787ece74531d112559945c6871,????? ?? ????? ?????? ?????????,subjective,NU
f1e069787ece74531d112559945c6871,????? ???? ????,subjective,NU
f1e069787ece74531d112559945c6871,"???? ?? ???? ???? ????,????? ???? ????? ??????",subjective,NU
f1e069787ece74531d112559945c6871,??????? ????? ????? ?? ????????,subjective,NU
f1e069787ece74531d112559945c6871,?? ????? ???? ? ?????? ???,subjective,NU
f1e069787ece74531d112559945c6871,????? ???? ????? ?????? ?????? ! !,subjective,NU
f1e069787ece74531d112559945c6871,????????? ?? ????,subjective,NU
f1e069787ece74531d112559945c6871,???? ??? ????? ???? ?????,subjective,NU
f1e069787ece74531d112559945c6871,"???, ????? ????? ????? ?? ??",subjective,NU
f1e069787ece74531d112559945c6871,?????? ???? ????? ???????,subjective,NU
f1e069787ece74531d112559945c6871,????? ???? ???? ???????? ??????? ????? ?????? ????? ?????,subjective,NU
f1e069787ece74531d112559945c6871,?????? ???? ??? ?????? ????? ???????,subjective,NU
f1e069787ece74531d112559945c6871,????? ????? ???????? ?????? ?? ???? ??????????,subjective,NU
f1e069787ece74531d112559945c6871,??? ?? ?????? ?????? ???? ?????? ?? ???? ???? ?? ????,subjective,NU
f1e069787ece74531d112559945c6871,??????? ??????? ??? ???? ??? ??? ????? ????,subjective,NU
f1e069787ece74531d112559945c6871,"??? ????? ??? ????? ??? ????????? ???? ???????, ??? ????? ?????? :(",subjective,NU
f1e069787ece74531d112559945c6871,???????? ??????? ????? ??? ???? ???? ?????,subjective,NU
f1e069787ece74531d112559945c6871,?????? ??? ????? ?? ??? ???? ???? ?????? ??? ????????,subjective,NU
f1e069787ece74531d112559945c6871,"????? ????? ?? ??? ????, ???? ?? ?????? ????? ??????",subjective,NU
f1e069787ece74531d112559945c6871,???? ?????? ?????? ???,subjective,NU
f1e069787ece74531d112559945c6871,?????? ????? ????? ???? ????? ??????,subjective,NU
f1e069787ece74531d112559945c6871,?????? ?????? ??? ????? ?? ???? ??????,subjective,NU
f1e069787ece74531d112559945c6871,????? ???? ???? ???? ?????? ??? ????? ,subjective,NU
f1e069787ece74531d112559945c6871,????? ????? ???? ???? ????? ??? ?????,subjective,NU
f1e069787ece74531d112559945c6871,????? ???? ??? ??? ?????? ,subjective,NU
f1e069787ece74531d112559945c6871,????? ????? ????? ??? ?? ??,subjective,NU
f1e069787ece74531d112559945c6871,????? ????? ???? ????,subjective,NU
f1e069787ece74531d112559945c6871,?????? ?????? ???? ?????????,subjective,NU
f1e069787ece74531d112559945c6871,????? ?? ?????? ?? ???? ??? ????,subjective,NU
f1e069787ece74531d112559945c6871,?????? ?????? ?? ????? ???,subjective,NU
f1e069787ece74531d112559945c6871,??????? ?????? ????? ???? ?? ??,subjective,NU
f1e069787ece74531d112559945c6871,??????? ?????? ???? ?????? ????,subjective,NU
f1e069787ece74531d112559945c6871,?? ???? ?? ?? ?? ???? ?? ????? ?????,subjective,NU
f1e069787ece74531d112559945c6871,????? ??? ????? ???? ???? ??????????,subjective,NU
f1e069787ece74531d112559945c6871,????? ???? ???? ?????? ,subjective,NU
f1e069787ece74531d112559945c6871,??? ????? ???? ?????? ???? ?????????,subjective,NU
f1e069787ece74531d112559945c6871,??????????? ??? ????????? ? ??? ???,subjective,NU
f1e069787ece74531d112559945c6871,?????? ??? ?????? ???? ?????,subjective,NU
f1e069787ece74531d112559945c6871,??????? ???????? ?????? ?? ??? ????? ????? ??? ???? ??? ???? ?? ?? ????,subjective,NU
f1e069787ece74531d112559945c6871,????? ????? ?? ???????? ??????? ??????????? ? ?????????,subjective,NU
f1e069787ece74531d112559945c6871,??? ???????? ?? ???? ???? ??????? ??? ??? ?? ??????? ??????,subjective,NU
f1e069787ece74531d112559945c6871,"????? ????? ???,???? ????? ???, ??? ?????? ????? ???, ?? ???? ??????",subjective,NU
f1e069787ece74531d112559945c6871,????? ???? ????????? ??? ??????,subjective,NU
f1e069787ece74531d112559945c6871,??? ????????? ??????? ???? ????? ????,subjective,NU
f1e069787ece74531d112559945c6871,??????? ???? ????????? ???? ???,subjective,NU
f1e069787ece74531d112559945c6871,??????????? ??? ????????? ???? ?? ?? ??? ???????,subjective,NU
f1e069787ece74531d112559945c6871,???? ????? ????? ?????,subjective,NU
f1e069787ece74531d112559945c6871,??????? ??? ??? ?????? ??? ????? ?? ??? ?????? ?? ????? ? ??????,subjective,NU
f1e069787ece74531d112559945c6871,???? ???? ????? ?????? ??????,subjective,NU
f1e069787ece74531d112559945c6871,???? ????? ???? ?????? ??? ?????,subjective,NU
f1e069787ece74531d112559945c6871,??? ???? ???? ?? ???? ???????? ??) ????? ???????,subjective,NU
f1e069787ece74531d112559945c6871,????? ????? ?? ?? ??????,subjective,NU
f1e069787ece74531d112559945c6871,????? ????? ?? ???? ???? ??????,subjective,NU
f1e069787ece74531d112559945c6871,?????? ??? ?????? ??? ??? ??????? ????? ?? ????? ???? ????,subjective,NU
f1e069787ece74531d112559945c6871,?????? ??? ???? ????? ????,subjective,NU
f1e069787ece74531d112559945c6871,???? ????? ???? ???,subjective,NU
f1e069787ece74531d112559945c6871,??? ?????? ?????,subjective,NU
f1e069787ece74531d112559945c6871,????? ??? ???? ?? ???? ???? ??? ???? ?? ????? ???? ??? ???? ?????,subjective,NU
f1e069787ece74531d112559945c6871,?? ???? ??????? ????? ?????,subjective,NU
f1e069787ece74531d112559945c6871,????? ??????? ?? ???? ??????,subjective,NU
f1e069787ece74531d112559945c6871,????? ??? ?? ????? ???????,subjective,NU
f1e069787ece74531d112559945c6871,??? ??? ???????? ??? ?????,subjective,NU
f1e069787ece74531d112559945c6871,??? ??? ???? ??? ??? ???? ???? ???? ???? ??????,subjective,NU
f1e069787ece74531d112559945c6871,??????? ???? ?????? ?????,subjective,NU
f1e069787ece74531d112559945c6871,?? ?? ??????? ? ????? ????? ???? ?????,subjective,NU
f1e069787ece74531d112559945c6871,"?? ??? ??? ,??? ??? ????? ???? ???? ??????? ??????",subjective,NU
f1e069787ece74531d112559945c6871,??????? ?? ????? ?????????,subjective,NU
f1e069787ece74531d112559945c6871,??? ?????? ??? ??? ??? ?? ???????? ???? ????? ????,subjective,NU
f1e069787ece74531d112559945c6871,????? ???? ??????? ?????? ??? ????? ?? ??? ???? ?????,subjective,NU
f1e069787ece74531d112559945c6871,????? ?????????? ?? ??????? ?????? ??????? ?? ??? ??? ??,subjective,NU
f1e069787ece74531d112559945c6871,?????? ?? ?? ??? ?????? ??? ???,subjective,NU
f1e069787ece74531d112559945c6871,???? ??? ??? ????? ??,subjective,NU
f1e069787ece74531d112559945c6871,????? ??? ?? ???? ????? ??? ?????? ?? ?? ???? ?????? ??? ????,subjective,NU
f1e069787ece74531d112559945c6871,??? ???? ????? ???? ? ??????? ?? ??????? ????? ?????,subjective,NU
f1e069787ece74531d112559945c6871,??? ?? ??????? ????? ???????,subjective,NU
f1e069787ece74531d112559945c6871,?????? ?? ??? ??? ????? ?? ????????? ?????? ????,subjective,NU
f1e069787ece74531d112559945c6871,????? ??? ?? ??????? ???? ?????,subjective,NU
f1e069787ece74531d112559945c6871,??? ???? ????? ??? ??? ???? ?????,subjective,NU
f1e069787ece74531d112559945c6871,??? ??? ???? ??? ???? ??? ????,subjective,NU
f1e069787ece74531d112559945c6871,??? ??? ???????? ??????? ?????? ?????? ???,subjective,NU
f1e069787ece74531d112559945c6871,???? ?? ???? ????? ????? ????? ?????,subjective,NU
f1e069787ece74531d112559945c6871,????? ????? ???? ?? ???? ???? ???,subjective,NU
f1e069787ece74531d112559945c6871,?????? ???? ????? ??????????? ???? ??????? ????,subjective,NU
f1e069787ece74531d112559945c6871,?????????????? ?? ??????? ????????? ???????? ???? ?????,subjective,NU
f1e069787ece74531d112559945c6871,????? ???? ??? ?? ???? ?????? ????,subjective,NU
f1e069787ece74531d112559945c6871,?? ???? ???? ??? ????? ???? ???,subjective,NU
f1e069787ece74531d112559945c6871,???? ???? ?? ??? ???? ??? ??,subjective,NU
f1e069787ece74531d112559945c6871,?? ???? ??? ??? ????????????? ????? ???????,subjective,NU
f1e069787ece74531d112559945c6871,"??? ????? ????? ??????? ?????? ?????,??????? ?????",subjective,NU
f1e069787ece74531d112559945c6871,"??? ?????, ????? ?? ???? ?? ???!",subjective,NU
f1e069787ece74531d112559945c6871,?? ??? ????????????? ??? ???? ?????????? ?????,subjective,NU
f1e069787ece74531d112559945c6871,????? ????? ??? ???? ???? ????? ??,subjective,NU
f1e069787ece74531d112559945c6871,???? ???? ???? ???? ???? ???? ??????,subjective,NU
f1e069787ece74531d112559945c6871,?? ? ??? ?? ?????? ??? ??,subjective,NU
f1e069787ece74531d112559945c6871,???? ????? ????? ?????? ??? ??????? ?????,subjective,NU
f1e069787ece74531d112559945c6871,"?????? ???? ????,??????? ??? ???? ????? ??",subjective,NU
f1e069787ece74531d112559945c6871,????????? ??????? ?? ?????? ?? ????? ???,subjective,NU
f1e069787ece74531d112559945c6871,????? ????? ?? ?????? ??????? ?????? ????,subjective,NU
f1e069787ece74531d112559945c6871,"???? ??? ???? ??,??? ????? ???????? ??????",subjective,NU
f1e069787ece74531d112559945c6871,???? ???????? ?? ??? ????? ?????? ???,subjective,NU
f1e069787ece74531d112559945c6871,??????? ?? ??? ??? ?????? ??? ????,subjective,NU
f1e069787ece74531d112559945c6871,???????? ??? ??? ?? ???? ??? ?????,subjective,NU
f1e069787ece74531d112559945c6871,??????? ???? ? ???? ??? ????? ???,subjective,NU
f1e069787ece74531d112559945c6871,? ?? ???? ?????? ? ???? ????,subjective,NU
f1e069787ece74531d112559945c6871,?????????? ?????? ???? ??? ???????? ???? ?????,subjective,NU
f1e069787ece74531d112559945c6871,???????? ????? ?? ?????? ?? ?????? ????,subjective,NU
f1e069787ece74531d112559945c6871,??? ????? ??? ????? ????? ??? ?????,subjective,NU
f1e069787ece74531d112559945c6871,?? ?? ?? ????? ??? ????? ???.,subjective,NU
f1e069787ece74531d112559945c6871,????? ?????????????? ?? ??? ??? ????? ????,subjective,NU
f1e069787ece74531d112559945c6871,??????? ?????? ??? ????? ?? ???? ????,subjective,NU
f1e069787ece74531d112559945c6871,?????? ?????? ???? ???? ???? ???? ????,subjective,NU
f1e069787ece74531d112559945c6871,?????????? ????? ???? ????? ????? ???? ????,subjective,NU
f1e069787ece74531d112559945c6871,?????????? ????? ??????????? ??????????? ????? ???? ????,subjective,NU
f1e069787ece74531d112559945c6871,????? ????? ????? ?? ??? ???? ??,subjective,NU
f1e069787ece74531d112559945c6871,??? ?? ???? ?? ????? ?????? ????,subjective,NU
f1e069787ece74531d112559945c6871,???????? ????? ????? ? ??? ??? ????,subjective,NU
f1e069787ece74531d112559945c6871,???? ?? ????????? ??????? ??? ??? ????,subjective,NU
f1e069787ece74531d112559945c6871,??????? ??? ?? ??? ??? ??? ???,subjective,NU
f1e069787ece74531d112559945c6871,?????? ?? ?? ????? ????? ????? ???,subjective,NU
f1e069787ece74531d112559945c6871,????? ????? ???? ???? ????? ?????? ???,subjective,NU
f1e069787ece74531d112559945c6871,???????? ????? ?? ??????? ?? ????? ????,subjective,NU
f1e069787ece74531d112559945c6871,?????????? ?????? ??????? ????? ?????? ??? ????!,subjective,NU
f1e069787ece74531d112559945c6871,"??? ???? ?????? ???? ??? ??? ???????,",subjective,NU
f1e069787ece74531d112559945c6871,?? ??????? ?? ???? ??? ?? ????,subjective,NU
f1e069787ece74531d112559945c6871,??? ????? ?????? ???? ?? ???? ?????,subjective,NU
f1e069787ece74531d112559945c6871,??????? ???? ??? ???? ???? ????? ????,subjective,NU
f1e069787ece74531d112559945c6871,????? ????? ?? ???? ??????? ???? ???,subjective,NU
f1e069787ece74531d112559945c6871,?? ???? ??????? ???? ?? ????? ????,subjective,NU
f1e069787ece74531d112559945c6871,???? ???? ??????? ?? ???????? ?????? ????,subjective,NU
f1e069787ece74531d112559945c6871,"??? ??? ????? ??????? ?????? ?? ????,",subjective,NU
f1e069787ece74531d112559945c6871,"????? ????? ???? ???, ??????? ???? ????????????",subjective,NU
f1e069787ece74531d112559945c6871,???? ??? ? ?????? ????? ?????? ????,subjective,NU
f1e069787ece74531d112559945c6871,??? ?? ?? ?? ??????? ?? ???,subjective,NU
f1e069787ece74531d112559945c6871,"???,???????? ??????? ???????? ???? ?????? ??? ????",subjective,NU
f1e069787ece74531d112559945c6871,"???? ?? ???? ????? ???? ????, ??????,",subjective,NU
f1e069787ece74531d112559945c6871,?????? ??? ??? ?? ???? ?? ??,subjective,NU
f1e069787ece74531d112559945c6871,????? ?? ?????? ???????? ?????? ???????? ????,subjective,NU
f1e069787ece74531d112559945c6871,??????? ???? ???? ???? ?????? ??? ???,subjective,NU
f1e069787ece74531d112559945c6871,?? ?? ????? ????? ????? ????? ???,subjective,NU
f1e069787ece74531d112559945c6871,"????? ?? ??? ?????? ???? ???? ????,",subjective,NU
f1e069787ece74531d112559945c6871,????? ???? ???? ?? ???? ??? ???,subjective,NU
f1e069787ece74531d112559945c6871,"??????? ????????? ??? ???? ????? ???? ,",subjective,NU
f1e069787ece74531d112559945c6871,??? ??? ?????? ????? ???? ???? ???!,subjective,NU
f1e069787ece74531d112559945c6871,????? ????? ???? ????? ?????? ??????? ????,subjective,NU
f1e069787ece74531d112559945c6871,???? ??'???? ???? ??????? ???????? ???? ?,subjective,NU
f1e069787ece74531d112559945c6871,"?? ?????? ???? ??,?????? ?? ?? ???",subjective,NU
f1e069787ece74531d112559945c6871,??????? ?? ?? ????????? ???? ??? ??????,subjective,NU
f1e069787ece74531d112559945c6871,"????? ?????, ?????? ??? ?????, ????? ????",subjective,NU
f1e069787ece74531d112559945c6871,"??? ???, ??? ??? ???? ???? ?",subjective,NU
f1e069787ece74531d112559945c6871,?? ?????? ??? ?? ???? ???? ???????,subjective,NU
f1e069787ece74531d112559945c6871,???? ?????????? ??? ????????? ?/? ??? ????,subjective,NU
f1e069787ece74531d112559945c6871,"????, ??? ????? ??????? ???? ????? ?????",subjective,NU
f1e069787ece74531d112559945c6871,?????? ??????? ???? ???????? ???? ??? ???,subjective,NU
f1e069787ece74531d112559945c6871,???? ???????? ??? ????? ??? ??? ???,subjective,NU
f1e069787ece74531d112559945c6871,"??? ""????? ??? "" ???? ??????? ??????",subjective,NU
f1e069787ece74531d112559945c6871,????? ???? ??????? ????? ?? ????? ??????,subjective,NU
f1e069787ece74531d112559945c6871,"* ""????? ????? ?? ???? ?????? ????""-?????????????",subjective,NU
f1e069787ece74531d112559945c6871,?????? ?? ??? ????? ???? ???? ??????,subjective,NU
f1e069787ece74531d112559945c6871,"???? ???? ???,?? ??????? ???? ??????? ???????",subjective,NU
f1e069787ece74531d112559945c6871,?? ????? ????? ???? ????? ???? ??????!,subjective,NU
f1e069787ece74531d112559945c6871,???????? ????: ?? ???? ????? ??? ????,subjective,NU
f1e069787ece74531d112559945c6871,???? ???? ??????? ?????? ????? ????? ?????,subjective,NU
f1e069787ece74531d112559945c6871,?? ???? ???? ?? ??? ????? ????,subjective,NU
f1e069787ece74531d112559945c6871,????? ???? ??????? ?????? ?????? ???? ???!,subjective,NU
f1e069787ece74531d112559945c6871,?????????? ?????? ?? ?? ?? ???? ????,subjective,NU
f1e069787ece74531d112559945c6871,????? ?? ?????? ???? ??? ?? ???,subjective,NU
f1e069787ece74531d112559945c6871,?????? ??????? ???? ??????? ???? ??? ????,subjective,NU
f1e069787ece74531d112559945c6871,"????? ???? ???? ???, ????? ??????? ???",subjective,NU
f1e069787ece74531d112559945c6871,"??????? ???? ??? ?????, ???? ?????? ????????",subjective,NU
f1e069787ece74531d112559945c6871,?? ?????? ?? ???? ??????? ??? ????,subjective,NU
f1e069787ece74531d112559945c6871,"?????? ?????????,?? ???? ??? ???? ??????? ?????",subjective,NU
f1e069787ece74531d112559945c6871,????? ???? ?????? ???? ??????? ???? ???,subjective,NU
f1e069787ece74531d112559945c6871,???????? ? ??????? ?????? ?????? ???? ?,subjective,NU
f1e069787ece74531d112559945c6871,???? ?? ????????? ???? ????? ? ?????,subjective,NU
f1e069787ece74531d112559945c6871,????? ?????? ?????? ???? ?? ??? ???,subjective,NU
f1e069787ece74531d112559945c6871,???? ???? ???? ????? ??????? ????? ?????,subjective,NU
f1e069787ece74531d112559945c6871,?? ?? ???? ????? ???????? ????? ??????,subjective,NU
f1e069787ece74531d112559945c6871,??? ?? ?? ??? ?????? ??? ???,subjective,NU
f1e069787ece74531d112559945c6871,????? ??????? ???? ??? ???? ???????? ??????,subjective,NU
f1e069787ece74531d112559945c6871,??????? ????? ??? ???? ???? ?? ???,subjective,NU
f1e069787ece74531d112559945c6871,???? ????? ??? ????? ???? ???? ?????,subjective,NU
f1e069787ece74531d112559945c6871,???? ????? ???????? ????? ??? ??????? ????,subjective,NU
f1e069787ece74531d112559945c6871,"?? ???? ?????? ""????? "" ???????? ???????",subjective,NU
f1e069787ece74531d112559945c6871,??? ????:??? ???? ???????? ???? ??????? ??????,subjective,NU
f1e069787ece74531d112559945c6871,??? ????? ?????? ????? ???? ?? ?????,subjective,NU
f1e069787ece74531d112559945c6871,????? ??? ???? ???? ????? ????? ???????,subjective,NU
f1e069787ece74531d112559945c6871,???? ???? ????? ?? ???? ???? !,subjective,NU
f1e069787ece74531d112559945c6871,?????? ?? ??????? ?? ??? ????? ?????,subjective,NU
f1e069787ece74531d112559945c6871,??? ?? ???? ?????? ???????? ???? ????????,subjective,NU
f1e069787ece74531d112559945c6871,???? ??? ????? ????? ???? ??? ??????,subjective,NU
f1e069787ece74531d112559945c6871,??????? ????????? ???? ?? ????? ???? ?????,subjective,NU
f1e069787ece74531d112559945c6871,"??? ???, ???? ????? ???? ?????? ????",subjective,NU
f1e069787ece74531d112559945c6871,"?? ???? ??, ????????? ??? ??? ???????",subjective,NU
f1e069787ece74531d112559945c6871,?????? ??????? ????????? ??????? ????? ????? ?????.?,subjective,NU
f1e069787ece74531d112559945c6871,??? ??? ???? ??????? ????? ?? ???,subjective,NU
f1e069787ece74531d112559945c6871,?????? ??????? ??? ?????? ????? ???????? ??????,subjective,NU
f1e069787ece74531d112559945c6871,???? ???? ????????? ??? ??????? ???? ????,subjective,NU
f1e069787ece74531d112559945c6871,??? ??? ???? ??? ??????? ???? ?,subjective,NU
f1e069787ece74531d112559945c6871,"?? ????? ?????? ???? ????, ????? ???",subjective,NU
f1e069787ece74531d112559945c6871,?? ?????? ????? ?? ??? ?????? ????!,subjective,NU
f1e069787ece74531d112559945c6871,?????? ??? ????? ?? ??? ?????? ???,subjective,NU
f1e069787ece74531d112559945c6871,?????? ???????? ???? ????? ????????? ???????????? ??????,subjective,NU
f1e069787ece74531d112559945c6871,?????? ???? ???? ???? ??? ????? ?,subjective,NU
f1e069787ece74531d112559945c6871,"????? ????? ?????? ??????, ??? ?????? ???????",subjective,NU
f1e069787ece74531d112559945c6871,??? ? ??? ???? ?? ?????? ?????,subjective,NU
f1e069787ece74531d112559945c6871,"?????? ???????????? ?????,????? ??? ?????????? ?????? ????????",subjective,NU
f1e069787ece74531d112559945c6871,?-? ??? ???? ????????? ??? ??????? ????,subjective,NU
f1e069787ece74531d112559945c6871,??? ???? ? ??? ???? ???? ?????????,subjective,NU
f1e069787ece74531d112559945c6871,?????? ???????? ?????? ??? ??????? ?? ????,subjective,NU
f1e069787ece74531d112559945c6871,?? ???? ??????? ???? ??? ????? ?????,subjective,NU
f1e069787ece74531d112559945c6871,??? ??????? ?? ??? ?????? ????? ????,subjective,NU
f1e069787ece74531d112559945c6871,"???? ?? ??? ????,??????, ??????? ??? ???",subjective,NU
f1e069787ece74531d112559945c6871,?????? ??? ?? ??? ????? ?????? ????,subjective,NU
f1e069787ece74531d112559945c6871,?????????? ?? ??? ??????? ??? ???? ???,subjective,NU
f1e069787ece74531d112559945c6871,???? ???????????? ???????? ????????? ???? ??? ????,subjective,NU
f1e069787ece74531d112559945c6871,???? ??? ?? ???????? ????? ???? ????!,subjective,NU
f1e069787ece74531d112559945c6871,?? ???? ??? ?? ??? ???? ????,subjective,NU
f1e069787ece74531d112559945c6871,"???????? ?????? ???? ???? ???, '??? ??????",subjective,NU
f1e069787ece74531d112559945c6871,??? ????? ???? ?? ???? ???????? ???????,subjective,NU
f1e069787ece74531d112559945c6871,?? ??? ???? ????? ???? ????? ???????,subjective,NU
f1e069787ece74531d112559945c6871,????? ?? ???? ?? ???? ??????? ???,subjective,NU
f1e069787ece74531d112559945c6871,? ?? ???? ? ?? ??? ???????,subjective,NU
f1e069787ece74531d112559945c6871,????????? ?????? ??? ?????? ??? ??????? ?????,subjective,NU
f1e069787ece74531d112559945c6871,???? ???? ?????? ????? ????? ???? ????!,subjective,NU
f1e069787ece74531d112559945c6871,?? ????? ???? ??? ???? ??? ?,subjective,NU
f1e069787ece74531d112559945c6871,??? ?????? ???? ????? /??? ????? ???,subjective,NU
f1e069787ece74531d112559945c6871,??? ????? ??????? ?? ???? ??? ????,subjective,NU
f1e069787ece74531d112559945c6871,?????????? ??????? ??????? ???????? ???? ??? ??????,subjective,NU
f1e069787ece74531d112559945c6871,? ???. ?? ????? ?? ???? !,subjective,NU
f1e069787ece74531d112559945c6871,???? ???? ???? ?? ????? ??????? ?????,subjective,NU
f1e069787ece74531d112559945c6871,????? ??? ???? ?????? ?? ???? ???????,subjective,NU
f1e069787ece74531d112559945c6871,??? ????? ?? ??? ??? ????? ?????,subjective,NU
f1e069787ece74531d112559945c6871,????? ???? ????? ?? ????? ??? ???,subjective,NU
f1e069787ece74531d112559945c6871,???? ?????? ?? ???? ??? ?????? ??,subjective,NU
f1e069787ece74531d112559945c6871,?????? ???? ? ???? ??????? ???? ???!,subjective,NU
f1e069787ece74531d112559945c6871,?? ?????? ?????? ????????????? ???? ??? ????!,subjective,NU
f1e069787ece74531d112559945c6871,???? ???? ???. ????? ????? ??? ???.,subjective,NU
f1e069787ece74531d112559945c6871,? ??? ?? ???? ???? ???? ?????,subjective,NU
f1e069787ece74531d112559945c6871,????? ???? ??.?? ???? ?????.????? ??? ?????,subjective,NU
f1e069787ece74531d112559945c6871,", ??? ????????? ?? ????? ???? ??????",subjective,NU
f1e069787ece74531d112559945c6871,????? ?????? ???? ?? ???? ????? ????,subjective,NU
f1e069787ece74531d112559945c6871,???????? ????? ?? ???? ??? ??? ???,subjective,NU
f1e069787ece74531d112559945c6871,???? ?????????? ???? ??? ??????? ??? .,subjective,NU
f1e069787ece74531d112559945c6871,???? ????? ??? ????? ?? ???? ?????,subjective,NU
f1e069787ece74531d112559945c6871,?????? ??????? ?????? ?????? ??? ??? ?????,subjective,NU
f1e069787ece74531d112559945c6871,?? ????? ???? ?? ???? ??? ?????,subjective,NU
f1e069787ece74531d112559945c6871,?????????? ?? ???? ???????? ?? ???? ???,subjective,NU
f1e069787ece74531d112559945c6871,???? ???? ???? ????????? ????? ???? ??????,subjective,NU
f1e069787ece74531d112559945c6871,???? ?? ??? ???? ????? ?? ????,subjective,NU
f1e069787ece74531d112559945c6871,??? ????????? ???? ??? ???? ????? ?????,subjective,NU
f1e069787ece74531d112559945c6871,??? ?????? ?? ??? ?? ???? ?????,subjective,NU
f1e069787ece74531d112559945c6871,?? ?? ?? ???? ????? ?????? ???,subjective,NU
f1e069787ece74531d112559945c6871,????? ????? ???* ?????? ??????? ???? ???.,subjective,NU
f1e069787ece74531d112559945c6871,????? ?????? ???? ????? ???? ???? ???????,subjective,NU
f1e069787ece74531d112559945c6871,????? ???? ??? ??? ?????? ?? ????,subjective,NU
f1e069787ece74531d112559945c6871,????? ????? ?? ?? ???? ?? ????!,subjective,NU
